'ui','description'
'AM','AM - Ampoule'
'AT','AT - Assortment'
'AY','AY - Assembly'
'BA','BA - Ball'
'BD','BD - Bundle'
'BE','BE - Bale'
'BF','BF - Board Foot'
'BG','BG - Bag'
'BK','BK - Book'
'BL','BL - Barrel'
'BO','BO - Bolt'
'BQ','BQ - Briquet' 
'BR','BR - Bar'
'BT','BT - Bottle'
'BX','BX - Box'
'CA','CA - Cartridge'
'CB','CB - Carboy'
'CC','CC - Cubic Centimeter'
'CD','CD - Cubic Yard'
'CE','CE - Cone'
'CF','CF - Cubic Foot'
'CG','CG - Centigram'
'CI','CI - Cubic Inch'
'CK','CK - Cake'
'CL','CL - Coil'
'CM','CM - Centimeter'
'CN','CN - Can'
'CO','CO - Container'
'CU','CU - Curie'
'CY','CY - Cylinder'
'CZ','CZ - Cubic Meter'
'DC','DC - Decagram'
'DE','DE - Decimeter'
'DG','DG - Decigram'
'DL','DL - Deciliter'
'DM','DM - Dram'
'DR','DR - Drum'
'DW','DW - Pennyweight'
'DZ','DZ - Dozen'
'EA','EA - Each'
'EX','EX - Exposure'
'FD','FD - Fold'
'FT','FT - Foot'
'FV','FV - Five'
'FY','FY - Fifty'
'GG','GG - Great Gross'
'GI','GI - Gill'
'GL','GL - Gallon'
'GM','GM - Gram'
'GN','GN - Grain'
'GP','GP - Group'
'GR','GR - Gross'
'HD','HD - Hundred'
'HF','HF - Hundred Feet'
'HK','HK - Hank'
'HP','HP - Hundred Pounds'
'HS','HS - Hundred Square'
'HW','HW - Hundred Weight'
'HY','HY - Hundred Yards'
'IN','IN - Inch'
'JR','JR - Jar'
'KG','KG - Kilogram'
'KM','KM - Kilometer'
'KR','KR - Carat'
'KT','KT - Kit'
'LB','LB - Pound'
'LF','LF - Linear Foot'
'LG','LG - Length'
'LI','LI - Liter'
'LI','LI - Liter'
'MC','MC - Thousand Cubic'
'MC','MC - Thousand'
'ME','ME - Meal'
'MF','MF - Thousand Feet'
'MG','MG - Milligram'
'MI','MI - Mile'
'ML','ML - Milliliter'
'MM','MM - Millimeter'
'MR','MR - Meter'
'MX','MX - Thousand'
'OT','OT - Outfit'
'OZ','OZ - Ounce'
'PD','PD - Pad'
'PG','PG - Package'
'PI','PI - Pillow'
'PM','PM - Plate'
'PR','PR - Pair'
'PT','PT - Pint'
'PX','PX - Pellet'
'PZ','PZ - Packet'
'QT','QT - Quart'
'RA','RA - Ration'
'RD','RD - Round'
'RL','RL - Reel'
'RM','RM - Ream'
'RO','RO - Roll'
'RX','RX - Thousand Rounds'
'SD','SD - Skid'
'SE','SE - Set'
'SF','SF - Square Foot'
'SH','SH - Sheet'
'SI','SI - Square Inch'
'SK','SK - Skein'
'SL','SL - Spool'
'SM','SM - Square Meter'
'SO','SO - Shot'
'SP','SP - Strip'
'SQ','SQ - Square'
'SX','SX - Stick'
'SY','SY - Square Yard'
'TD','TD - Twenty-four'
'TE','TE - Ten'
'TF','TF - Twenty-five'
'TN','TN - Ton'
'TO','TO - Troy Ounce'
'TS','TS - Thirty-six'
'TT','TT - Tablet'
'TU','TU - Tube'
'US','US - U.S.P. Unit'
'VI','VI - Vial'
'YD','YD - Yard'
